Medium,Values
"Etching and aquatint from an illustrated book with twenty etchings (twelve with aquatint, one with heliogravure, and one with heliogravure and aquatint), one heliogravure, two zincographs, one woodcut, one aquatint wrapper, and eight reproductions",12
One from a portfolio of twelve lithographs (including title page and colophon),12
Black and white photograph,12
Woodcut from a portfolio of twelve woodcuts and one woodcut cover,12
Pencil on mylar,12
Terra cotta,12
One from a portfolio of 12 lithographs (including title page and colophon),12
"Line block, printed in black",12
"Collagraph, printed in black",12
Invitation poster,12
Ink on synthetic polymer sheet,12
One from a portfolio of twelve wood engravings with embossing,12
"Two-channel video (color, sound)",12
One from a series of twelve drypoints,12
"Aquatint and drypoint, with hand additions",12
One from a series of twelve lithographs,12
"One from an illustrated book with thirty-five woodcuts (including woodcut cover, title page and ornamental initials)",12
Printed paper,12
"Photogravure, engraving, and drypoint",12
One from a portfolio of twelve digital prints,12
One of twelve etching and aquatints,12
Stamped ink on paper,12
Etching with watercolor additions,12
One from a series of four lithographs,12
One from a portfolio of twelve etchings and aquatints on chine collé,12
drawings,12
Collodion print,12
Cover with letterpress lettering on front,12
Portfolio of twelve lithographs,11
One from a portfolio of six woodcuts,11
Wood with Honduras mahogany veneer,11
Lithograph and embossing,11
"Etching, aquatint and drypoint, printed in black",11
"Soft ground etching and drypoint, printed in black",11
"One from a portfolio of eleven transfer prints of forensic fingerprint powder on acrylic, with nails",11
"Gelatin silver print, printed 2002",11
"Gelatin silver print, printed 1948",11
Crayon and ink on paper,11
Woven cotton,11
Etching from the supplementary suite of eighteen etchings (seven with aquatint),11
"Woodcut, printed in black, with die cut",11
Drypoint and roulette,11
One from a bound album of eleven aquatints,11
One from an illustrated book with six woodcuts,11
Three black-and-white instant prints (Polaroid),11
Charcoal and graphite on tracing paper,11
One from a series of fourteen aquatints,11
Etching and aquatint from a portfolio of fifteen etchings (twelve with aquatint and one with photogravure) and one aquatint,11
Ten photocopies (or offset?),11
Sterling silver,11
"Lithograph and photolithograph, printed in color",11
Oil on burlap,11
"Drypoint and monotype, with hand additions",11
"Screenprint, printed in white",11
Chromogenic color print with text,11
Line block reproduction,11
"Gelatin silver print, with applied color",11
One from a portfolio of eleven offset lithographs,11
Turn mold-blown glass,11
Ceramic,11
Seven gelatin silver prints,11
Typewriting and felt-tip pen on paper,11
Print on acetate,11
Screenprint printed in color,11
Engraving with roulette,11
Woodcut from an illustrated book with eleven woodcuts,11
"One from a portfolio of ten etching, aquatint and drypoints with chine collé; and twelve letterpress prints with artist's text",11
"Woodcut from a portfolio of twelve woodcuts, one woodcut title page, one woodcut table of contents, one supplementary woodcut and one woodcut colophon",11
One from a portfolio of eleven etchings with gravure on pigmented paper,11
"Chromogenic color print, printed 1992",11
Charcoal and chalk on paper,11
Etching with aquatint,11
One from an illustrated book with eleven etchings,11
Vinyl,11
"Lithograph from a portfolio of eleven lithographs with unique manuscript manifesto in Russian and German, colophon, and front and back covers of gouache, ink and pencil",11
ABS polymer casing,11
One from a portfolio of eleven aquatint and etchings with chine collé,11
Pencil and felt-tip pen on paper,11
"Engraving and aquatint, printed in color",11
"Transfer lithograph, printed in black, with pochoir additions",10
"Drypoint, lift ground aquatint, and engraving, printed in black",10
Tinted plaster,10
Intaglio,10
"Ivory, smooth, wove Arches paper",10
One from a portfolio of ten relief prints,10
One from a portfolio of ten screenprints with synthetic dye-based ink additions,10
"Digital print with photogravure from a series of twelve digital prints, ten with photogravure",10
Screenprint on fabric,10
"Screenprint from a portfolio of eleven screenprints, one with collage additions",10
"Digital print with lithography from a portfolio of 19 digital prints (12 with lithography, 1 with pochoir, 1 with hand coloring, and 1 with gold dusting) and 1 lithograph",10
One from a series of five aquatints,10
One from a portfolio of ten etchings with chine collé,10
One from a portfolio of ten digital prints with chine collé,10
Glazed pottery,10
"Etching and drypoint from a portfolio of fifty etching, aquatint and drypoints",10
One from a portfolio of twelve drypoints with one additional drypoint (variant of plate 1),10
One from a portfolio of ten etching and aquatints with chine collé,10
Ink on board,10
"Gelatin silver print, printed 1962",10
Graphite and watercolor on paper,10
"One screenprint, from an illustrated book with ten screenprints",10
One from a portfolio of ten drypoints with gouache additions,10
Silk,10
One from a series of ten carborundum prints and drypoints,10
"Watercolor, pencil, and ink on paper",10
"Watercolor, gouache, and pencil on nine pieces of paper",10
"Photogravure, printed 1931",10
35mm film,10
"Chromogenic color print, printed 1990",10
One from a series of ten woodcuts,10
Ink and marker on paper,10
One from a series of ten photolithographs,10
Printed linen,10
Photographic silkscreen print,10
One from a portfolio of ten screenprints with collage additions,10
One from a series of ten offset lithographs,10
"Gelatin silver print, printed 1989",10
"Gouache, watercolor, pencil, and ink on paper",10
Diazotype on printed paper from a portfolio of 71 prints,10
Gelatin silver prints on board,10
Die-cut,10
One from an illustrated book with twelve woodcuts (including front and back covers),10
"Lift ground aquatint and drypoint over photogravure, printed in black",10
"Etching, aquatint and drypoint",10
Ink on paper mounted on board,10
Periodical,10
Lithograph with embossing,10
"Drypoint, engraving, and aquatint, with hand additions",10
One from a bound album of ten etchings,10
One from an illustrated book with ten xerox images,10
"Felt-tip pen on paper
",10
Bromoil print,10
Exhibition brochure,10
One from an illustrated book with ten photogravures,10
"Etching with roulette, printed in black",10
"Etching from a portfolio of 27 etchings, 17 with aquatint",10
One from a portfolio of ten photogravure and aquatints,10
One from an illustrated book with ten woodcuts,10
"Aquatint, etching, drypoint, and engraving",10
One from a portfolio of eleven lithographs (including front cover),10
"Woodcut, with hand additions",10
Portfolio of nine aquatints; and photolithographic reproductions on two poster/text sheets,10
Gelatin silver prints mounted to board,10
Cover with letterpress illustration on front,10
Felt-tip pen and pencil on paper,10
Lithograph from an illustrated book with ten lithographs,10
One from an illustrated book with ten cut-and-folded screenprints,10
Charcoal and lithographic crayon on colored paper,10
One from a portfolio of five lithographs,10
Black and colored ink on paper,10
"Collage and photolithograph, printed in black",10
One from a portfolio of eleven lithographs (including cover),10
"Etching, engraving, and drypoint, printed in black",10
Multiple of chenille and embroidery on felt,10
Oil and sand on canvas,10
Pencil on transparentized paper with masking tape on paper,10
Flux postcard,10
One from an illustrated book of twelve inkless embossings,10
One from an illustrated book with five screenprints,10
One from a portfolio of ten photoetchings with colored mats,10
One from an illustrated book with ten softground etchings,10
"Etching from a book of twenty etchings (six with drypoint and six with aquatint), four drypoints, and one engraving",10
Serigraph,10
One from a porfolio of ten screenprints,10
Plastic and metal,10
One from an illustrated book with ten lithographic reproductions after drawings,10
Relief etching,10
"Gelatin silver print, printed 2016",10
Letterpress from a portfolio of 71 prints,10
Pressed glass,10
Broadside with relief engraving and letterpress,10
One telegram with envelope,10
Silverpoint on prepared paper,10
Pen and ink,10
Pastel on black paper,10
Etching from a portfolio of ten etchings and four screenprints,10
Lithograph from an illustrated book with eleven lithographs (including front cover),10
One from a portfolio of ten photogravures with letterpress,10
One from a portfolio of five etchings,10
Pencil on colored paper,10
One from an illustrated book with ten digital prints and one supplementary digital print with poem,10
One from a portfolio of ten pochoirs,10
Colored pencil on black paper,10
Woodcut with stencil additions from an illustrated book with thirteen woodcuts,10
"Gelatin silver print, printed 1980s",10
Molded glass,10
Portfolio of six lithographs,10
Aquatint from an illustrated book with ten aquatints,10
Magazine,10
ABS polymer,10
"One from a series of ten monoprints with lithograph, woodcut, screenprint, and digital print, with ink, acrylic, and collage additions",10
